Parameter,Untreated,Saline,MNP,MNPFDG,Units
D,0.00241,0.00199,0.00312,0.00188,mm²/s
epsilon,0.50147,0.50275,0.50119,0.49971,dimensionless
k_a,0.03045,0.03015,0.02992,0.02931,s⁻¹
C_bs_init,0.49802,0.50014,0.49961,0.50132,dimensionless
k_d,0.02996,0.03298,0.02913,0.03186,s⁻¹
k_i,0.03207,0.03115,0.03092,0.03050,s⁻¹
a,0.50110,0.49657,0.50308,0.49810,dimensionless
K,0.49866,0.50005,0.50196,0.50130,dimensionless
alpha_1,0.49760,0.50021,0.50109,0.50148,dimensionless
alpha_2,0.50051,0.50088,0.49979,0.50082,dimensionless
beta_1,0.50074,0.50109,0.50045,0.50156,dimensionless
beta_2,0.50017,0.49915,0.50177,0.49989,dimensionless
k_1,0.03022,0.03263,0.03073,0.02928,s⁻¹
k_2,0.02848,0.03019,0.03234,0.02840,s⁻¹
c,0.49782,0.50041,0.50255,0.50022,day⁻¹
K_T,999.99794,999.99992,999.99971,1000.00219,cells/mm³ 
